2024-10-17 17:25:13 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=25 HTTP/11" 200 None
2024-10-17 17:25:13 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:13 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=26 HTTP/11" 200 None
2024-10-17 17:25:13 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:14 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=27 HTTP/11" 200 None
2024-10-17 17:25:14 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:14 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/9?_page=28 HTTP/11" 200 None
2024-10-17 17:25:14 - INFO - ID de Actividad Infantil: 14
2024-10-17 17:25:14 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:14 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/14 HTTP/11" 200 None
2024-10-17 17:25:14 - INFO - Peticion a v1.0/events/byType/14 realizada correctamente.
2024-10-17 17:25:14 - DEBUG - Starting new HTTPS connection (1): api.euskadi.eus:443
2024-10-17 17:25:14 - DEBUG - https://api.euskadi.eus:443 "GET /culture/events/v1.0/events/byType/14?_page=2 HTTP/11" 200 None
2024-10-17 17:25:14 - INFO - Archivo json generado correctamente.
2024-10-17 17:25:14 - INFO - Ingesta completada correctamente.
